subjects,act_with_objects,act_with_places,objects,places
A Ghost from a parallel universe,orders a spaceship made of bamboo,dances in a haunted house,a golden cow with rocket boosters,the Parliament underwater
An Alien living in the metro,throws 100 samosas,argues on a rooftop,a rickshaw that glows in dark,a shopping mall during IPL
A Talking Parrot with a funny mustache,launches a cricket bat made of gold,teaches at India Gate,a samosa with rocket boosters,a jungle on Mars
A Talking Parrot on Mars,orders a goat statue,meditates at India Gate,a time machine that glows in dark,a jungle while eating pizza
P.M. Modi disguised as a teacher,orders a time machine,runs in a swimming pool,a robot that explodes,the moon on Diwali
A Goat with sunglasses,steals a robot army,declares war at Parliament,a rickshaw that glows in dark,the moon in zero gravity
P.M. Modi riding a scooter,steals a cricket bat made of gold,sleeps at India Gate,a flying scooter with rocket boosters,a jungle with ghosts
A Robot with sunglasses,throws a flying rickshaw,argues in a railway station,a spaceship made of chocolate,a local train while raining
A Robot who can rap,paints a spaceship made of bamboo,meditates on a rooftop,a rickshaw that glows in dark,a local train on Diwali
A Robot with sunglasses,invents a pizza factory,meditates on the moon,a spaceship that glows in dark,a swimming pool in zero gravity
A Ghost disguised as a teacher,throws a robot army,runs inside a metro,a golden cow made of chocolate,a cricket stadium underwater
A Goat who can rap,orders a goat statue,sleeps at India Gate,a golden cow covered in gold,a haunted mansion while raining
An Alien from a parallel universe,invents a goat statue,declares war on a rooftop,a magic carpet that explodes,a swimming pool on Mars
Elon Musk riding a scooter,launches 100 samosas,sings in a haunted house,a pizza slice with googly eyes,a swimming pool during IPL
A Talking Parrot living in the metro,invents a robot army,teaches on the moon,a magic carpet from the future,a shopping mall at midnight
A Goat that only eats pizza,hugs a spaceship made of bamboo,teaches inside a metro,a rickshaw that explodes,a local train while eating pizza
An Alien on Mars,launches a cricket bat made of gold,meditates at India Gate,a robot covered in gold,the moon on Diwali
A Baby with sunglasses,orders a goat statue,parties in a railway station,a flying scooter covered in gold,a haunted mansion underwater
Elon Musk with a funny mustache,invents a cricket bat made of gold,runs during IPL matches,a flying scooter with googly eyes,a local train on Diwali
Elon Musk on Mars,breaks a golden iPhone,argues on the moon,a pizza slice from the future,India Gate while raining
A Bollywood Actor with sunglasses,orders a time machine,runs at Parliament,a golden cow that explodes,a cricket stadium on Mars
A Talking Parrot from Noida,throws a flying rickshaw,declares war inside a metro,a spaceship that dances,a metro station while eating pizza
A Bollywood Actor with sunglasses,throws a goat statue,cries in a railway station,a time machine with googly eyes,the moon underwater
An Alien riding a scooter,cancels a cricket bat made of gold,parties at Parliament,a magic carpet that can talk,a jungle on Mars
A Talking Parrot that only eats pizza,paints a flying rickshaw,runs on the moon,a magic carpet that dances,the moon while eating pizza
An Alien from a parallel universe,cancels a flying rickshaw,teaches inside a washing machine,a robot with rocket boosters,a local train while raining
A Ninja from Noida,hugs a goat statue,sleeps in a railway station,a golden cow that glows in dark,a local train with ghosts
A Robot with sunglasses,eats a robot army,argues in a haunted house,a magic carpet that glows in dark,a swimming pool inside VR
An Alien from Noida,cancels a pizza factory,sleeps during IPL matches,a golden cow covered in gold,India Gate underwater
A Ninja on Mars,eats a flying rickshaw,argues at India Gate,a rickshaw that explodes,a jungle while raining
A Talking Parrot living in the metro,paints a pizza factory,teaches in a swimming pool,a golden cow that glows in dark,the Parliament during IPL
A Goat with sunglasses,launches a goat statue,dances at Parliament,a time machine covered in gold,a haunted mansion during IPL
A Goat on Mars,invents a robot army,parties on a rooftop,a magic carpet that glows in dark,a swimming pool while eating pizza
A Goat from a parallel universe,orders a cricket bat made of gold,dances in a railway station,a magic carpet from the future,the Parliament at midnight
P.M. Modi on Mars,steals a chocolate fountain,sings inside a washing machine,a flying scooter with googly eyes,a jungle inside VR
A Goat on Mars,launches a chocolate fountain,sings inside a metro,a cricket bat with googly eyes,the Parliament in zero gravity
P.M. Modi that only eats pizza,cancels a pizza factory,teaches at Parliament,a magic carpet that dances,a haunted mansion inside VR
A Robot riding a scooter,hugs a robot army,runs in a swimming pool,a rickshaw that explodes,a local train inside VR
A Baby who can rap,breaks a cricket bat made of gold,cries in a haunted house,a time machine that explodes,a cricket stadium while eating pizza
A Baby on Mars,eats a golden iPhone,cries in a railway station,a rickshaw covered in gold,the Parliament with ghosts
A Ninja with sunglasses,launches a goat statue,argues in a haunted house,a golden cow covered in gold,a local train on Diwali
A Ghost with a funny mustache,hugs a flying rickshaw,dances in a railway station,a cricket bat made of chocolate,a haunted mansion during IPL
P.M. Modi from Noida,hugs a cricket bat made of gold,argues inside a washing machine,a pizza slice made of chocolate,a swimming pool during IPL
A Ninja with sunglasses,steals a time machine,parties on the moon,a flying scooter covered in gold,a swimming pool on Diwali
A Ninja disguised as a teacher,eats 100 samosas,argues in a railway station,a pizza slice that can talk,a metro station during IPL
A Ghost riding a scooter,steals a cricket bat made of gold,runs inside a washing machine,a time machine that explodes,a local train underwater
P.M. Modi riding a scooter,cancels a time machine,cries in a swimming pool,a rickshaw that dances,a haunted mansion on Diwali
P.M. Modi who can rap,steals a spaceship made of bamboo,sleeps in a swimming pool,a golden cow that glows in dark,a jungle during IPL
P.M. Modi disguised as a teacher,throws a time machine,runs inside a washing machine,a spaceship covered in gold,a local train underwater
A Bollywood Actor riding a scooter,hugs a pizza factory,parties during IPL matches,a pizza slice that glows in dark,the moon at midnight
A Goat who can rap,invents a cricket bat made of gold,runs at India Gate,a pizza slice from the future,a haunted mansion while raining
A Bollywood Actor with sunglasses,invents a goat statue,meditates during IPL matches,a cricket bat that glows in dark,the moon on Mars
P.M. Modi who can rap,eats 100 samosas,cries on a rooftop,a cricket bat that dances,a jungle during IPL
A Talking Parrot riding a scooter,cancels a pizza factory,dances in a swimming pool,a samosa with googly eyes,a jungle while raining
P.M. Modi with a funny mustache,eats a goat statue,runs in a swimming pool,a cricket bat with rocket boosters,the Parliament during IPL
A Bollywood Actor with a funny mustache,paints a time machine,sleeps inside a washing machine,a samosa that explodes,the moon during IPL
A Goat from a parallel universe,steals a spaceship made of bamboo,runs on a rooftop,a pizza slice made of chocolate,India Gate on Diwali
A Baby that only eats pizza,hugs a pizza factory,runs during IPL matches,a samosa made of chocolate,India Gate while eating pizza
A Goat from Noida,orders a cricket bat made of gold,sleeps in a haunted house,a cricket bat with rocket boosters,a metro station while eating pizza
A Bollywood Actor on Mars,cancels a time machine,meditates in a railway station,a pizza slice covered in gold,a shopping mall while eating pizza
A Bollywood Actor with sunglasses,breaks a pizza factory,cries inside a metro,a flying scooter from the future,India Gate on Mars
A Talking Parrot riding a scooter,hugs a spaceship made of bamboo,sleeps during IPL matches,a rickshaw covered in gold,a jungle during IPL
A Ghost from a parallel universe,hugs a time machine,sleeps inside a metro,a magic carpet from the future,a local train while eating pizza
P.M. Modi with sunglasses,invents a flying rickshaw,argues in a haunted house,a time machine made of chocolate,a jungle in zero gravity
A Talking Parrot from Noida,cancels a chocolate fountain,cries during IPL matches,a cricket bat that dances,the moon inside VR
A Bollywood Actor that only eats pizza,hugs a spaceship made of bamboo,meditates on the moon,a time machine that explodes,India Gate in zero gravity
A Talking Parrot that only eats pizza,throws 100 samosas,teaches inside a metro,a cricket bat covered in gold,the moon underwater
A Baby who can rap,launches a robot army,dances in a swimming pool,a pizza slice that sings,the Parliament on Mars
A Ninja from a parallel universe,breaks a chocolate fountain,declares war on the moon,a flying scooter from the future,a haunted mansion on Mars
Elon Musk from a parallel universe,throws a time machine,dances inside a washing machine,a rickshaw that explodes,the moon while eating pizza
A Ninja with a funny mustache,steals a chocolate fountain,argues in a railway station,a flying scooter that sings,a shopping mall with ghosts
A Ninja on Mars,paints a time machine,teaches inside a washing machine,a flying scooter made of chocolate,a jungle on Mars
A Ghost disguised as a teacher,invents 100 samosas,declares war inside a washing machine,a pizza slice that sings,a haunted mansion with ghosts
A Ghost riding a scooter,launches a chocolate fountain,argues in a railway station,a samosa that explodes,a swimming pool inside VR
A Robot riding a scooter,throws a pizza factory,parties on the moon,a cricket bat covered in gold,a shopping mall in zero gravity
A Goat riding a scooter,paints a chocolate fountain,runs inside a metro,a cricket bat made of chocolate,a jungle while eating pizza
A Ghost from Noida,invents a cricket bat made of gold,cries inside a washing machine,a spaceship that sings,a swimming pool on Mars
A Baby living in the metro,invents a spaceship made of bamboo,sings in a swimming pool,a samosa with googly eyes,the moon while eating pizza
A Bollywood Actor who can rap,eats a time machine,teaches at India Gate,a robot that explodes,a swimming pool at midnight
A Ghost with a funny mustache,eats 100 samosas,meditates during IPL matches,a spaceship that explodes,a jungle on Diwali
An Alien from Noida,cancels a robot army,meditates in a haunted house,a magic carpet that explodes,the moon at midnight
A Talking Parrot living in the metro,cancels a golden iPhone,teaches in a haunted house,a magic carpet with googly eyes,India Gate while eating pizza
A Robot from a parallel universe,invents a robot army,cries at India Gate,a robot made of chocolate,the Parliament inside VR
A Talking Parrot from a parallel universe,launches a chocolate fountain,meditates during IPL matches,a rickshaw with rocket boosters,the moon at midnight
A Goat with a funny mustache,invents a spaceship made of bamboo,cries in a haunted house,a samosa that can talk,a metro station in zero gravity
A Ghost with a funny mustache,throws a golden iPhone,argues during IPL matches,a time machine covered in gold,a haunted mansion during IPL
A Robot disguised as a teacher,orders a flying rickshaw,meditates in a swimming pool,a cricket bat with rocket boosters,a shopping mall while eating pizza
A Ghost that only eats pizza,hugs a time machine,declares war during IPL matches,a spaceship that explodes,a local train on Diwali
A Talking Parrot riding a scooter,breaks a spaceship made of bamboo,declares war at Parliament,a flying scooter with rocket boosters,a haunted mansion while eating pizza
A Bollywood Actor with a funny mustache,hugs a time machine,runs inside a washing machine,a pizza slice with rocket boosters,a shopping mall with ghosts
A Bollywood Actor who can rap,invents a flying rickshaw,sings in a swimming pool,a spaceship from the future,a cricket stadium inside VR
A Goat living in the metro,eats a flying rickshaw,runs inside a metro,a rickshaw that can talk,a jungle while raining
A Robot with a funny mustache,steals a spaceship made of bamboo,sings during IPL matches,a cricket bat made of chocolate,a swimming pool while raining
A Robot riding a scooter,invents a chocolate fountain,declares war on a rooftop,a rickshaw covered in gold,a local train inside VR
An Alien disguised as a teacher,paints a pizza factory,argues inside a washing machine,a flying scooter that glows in dark,a jungle while raining
A Robot living in the metro,invents a time machine,teaches inside a washing machine,a flying scooter that can talk,the Parliament at midnight
P.M. Modi on Mars,paints a golden iPhone,meditates in a railway station,a flying scooter that dances,a cricket stadium during IPL
